title,company,location,salary,job_type,description,date,scraped_date,scraped_at
Software Engineer,PowerSchool Group LLC,"Hybrid work in Folsom, CA 95630",,"$55,100 - $112,400 a year, Full-time","Overview:
At PowerSchool, we are a dedicated team of innovators guided by our shared purpose of powering personalized education for students around the world. From the central office to the classroom to the home, PowerSchool supports the entire educational ecosystem as the global leader of cloud-based software for K-12 education. Our employees make it all possible, and a career with us means you’re joining a successful team committed to engaging, empowering, and improving the K-12 education experience everywhere.
Team Overview
Our Research & Development (R&D) team is the technical talent at the heart of our product suite, overseeing the product development lifecycle from concept to delivery. From engineering to quality assurance to data science, the R&D team ensures our customers seamlessly use our products and can depend on their consistency.
Responsibilities:
Description
The Software Engineering team at PowerSchool is a group of full-stack developers who design, develop, and maintain our products, tools, and infrastructure. As part of the Naviance product line, you will contribute to building innovative, scalable solutions that support students, educators, and institutions in their academic and career planning journey. Your day-to-day job will consist of:
Designing, developing, and maintaining scalable full-stack applications using React for the UI and AWS serverless services, including Lambda, EventBridge, and DynamoDB.
Writing high-quality, maintainable code and ensuring best practices in software development across both front-end and back-end systems.
Collaborating with product managers, designers, and other engineers to develop new features and improve existing ones.
Implementing event-driven architectures to improve application performance and scalability.
Maintaining and optimizing legacy systems built with PHP and MySQL as we transition to a fully serverless architecture.
Building and optimizing CI/CD pipelines for automated deployment and testing.
Troubleshooting and resolving production issues to ensure system reliability and performance.
Staying up to date with emerging technologies and contributing to continuous improvement initiatives.
Qualifications:
Minimum Qualifications
Minimum of 2 years of relevant full-stack software engineering experience.
Bachelor’s degree in Computer Science, Engineering, or equivalent work experience.
Full-stack development experience in JavaScript/TypeScript, React, CSS, and NodeJS.
Experience with AWS services, including Lambda, EventBridge, and DynamoDB.
Knowledge of PHP and MySQL, with experience in maintaining and optimizing legacy systems.
Preferred Qualifications
Experience with MVC framework(s) in PHP, such as Symfony
Experience with event-driven and serverless architectures.
Familiarity with CI/CD pipelines and DevOps best practices.
Understanding of cloud security and best practices in AWS.
Prior experience working in the EdTech industry.
Strong problem-solving skills and ability to work in an agile environment.
Candidates who demonstrate excitement and ability to learn new technologies will be given preference.
Compensation & Benefits:
Compensation & Benefits
PowerSchool offers the following benefits:
Comprehensive Insurance Coverage (including Medical, Dental, Vision, Pharmacy benefits, Life Insurance and AD&D)
Flexible Spending Accounts and Health Savings Accounts
Short-Term Disability and Long-Term Disability
Comprehensive 401(k) plan
Generous Parental Leave
Unrestricted paid time off (known as Discretionary Time Off - DTO)
Wellness Program, including ClassPass & Employee Assistance Program
Tuition Reimbursement
Optional Benefits: Pet Insurance, Identity Theft Protection, Student Debt Repayment Program and Prepaid Legal coverage
A reasonable estimate of the base compensation range for this position is $55,100 - $112,400 USD. This compensation range is specific to the United States and it incorporates many factors including but not limited to an applicant's skills and prior relevant experience and training; licensures, degrees, and certifications; specific geographic location; internal equity; internal pay ranges; and market data/range parameters.
EEO Commitment:
EEO Commitment
PowerSchool celebrates a diverse and inclusive workplace. PowerSchool is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. Our inclusive culture empowers PowerSchoolers to deliver the best results for our customers. We not only celebrate the diversity of our workforce, we celebrate the diverse ways we work. If you have a disability and need an accommodation regarding our recruiting process, please let us know by emailing accomodations@powerschool.com.

#LI-HYBRID #LI-TD1",,2025-05-08,2025-05-08 20:27:17
Associate Software Engineer,Lincoln Financial,"Radnor, PA",,"$53,500 - $96,300 a year","Date: May 8, 2025
Primary Location: Radnor, PA, US
Company: Lincoln Financial
Alternate Locations: Charlotte, NC (North Carolina); Fort Wayne, IN (Indiana); Greensboro, NC (North Carolina); Radnor, PA (Pennsylvania)

Work Arrangement:
Hybrid Preferred : Preferred employee will work 3 days a week in a Lincoln office

Relocation assistance: is not available for this opportunity.

Requisition #: 74547

The Role at a Glance
Are you an Associate Software Engineer who is looking to work in an autonomous, modern technical environment with the flexibility to do so from the comfort of your own home? Do you value open communication and a culture that welcomes thoughtful opinions to solve complex technical problems? This is the opportunity for you.
Background Details
We are looking for an Associate Software Engineer to join an agile development team building a unique digital experience for our Retirement Planning Portfolio. This work ranges from enhancing existing capabilities with the utmost emphasis on the customer experience, to adding new features and functionality that our customers truly desire. All this while continuing to support and improve upon our CI/CD pipeline and cloud infrastructure (AWS). We strive to collaborate effectively with User Experience and Product Management to create industry leading solutions that will help our customers achieve financial security. Enter a versatile, fun and fast-paced environment, bring your passion for delivering innovative solutions, crafting engaging experiences, and delivering value!
What you'll be doing
Involved in the full lifecycle of web application development; from designing, building, testing, deploying, to monitoring
Using HTML, CSS, JavaScript, TypeScript and Angular 2+ to build a modern frontend
Leveraging Java, Kotlin and Spring Boot in building a reliable backend
Using tools such as Gitlab, SonarQube, Splunk, New Relic, and Confluence, to drive operations and collaboration
Champion lean-Agile, DevOps principles and practices (e.g. CI/CD; you build it, you own it), and independent architecture, while supporting a culture of innovation and continuous learning
What we’re looking for
Must-haves:
Bachelor's degree in Computer Science or equivalent work experience
1-3+ years of experience in application development that directly aligns with the specific responsibilities for this position
Experience with HTML, CSS, JavaScript, TypeScript, and Angular
Experience with Java and Spring Boot
Experience writing Unit Tests (e.g. Mockito, Junit, Karma Jasmine)
Experience with microservice design (Service-Oriented Architecture) and RESTful web services
Excellent communication, with demonstrated critical thinking and problem-solving skills

Nice-to-haves:
Amazon Web Services (AWS) knowledge, or other cloud service providers
Experience with ADA compliant web design
Familiarity with Continuous Integration/Delivery and DevOps
Experience working with relational databases
Experience working on fully dedicated agile teams
Application Deadline
Applications for this position will be accepted through May 5, 2025, subject to earlier closure due to applicant volume.

What’s it like to work here?
At Lincoln Financial, we love what we do. We make meaningful contributions each and every day to empower our customers to take charge of their lives. Working alongside dedicated and talented colleagues, we build fulfilling careers and stronger communities through a company that values our unique perspectives, insights and contributions and invests in programs that empower each of us to take charge of our own future.

What’s in it for you:
Clearly defined career tracks and job levels, along with associated behaviors for each of Lincoln's core values and leadership attributes
Leadership development and virtual training opportunities
PTO/parental leave
Competitive 401K and employee benefits
Free financial counseling, health coaching and employee assistance program
Tuition assistance program
Work arrangements that work for you
Effective productivity/technology tools and training

The pay range for this position is $53,500 - $96,300 with anticipated pay for new hires between the minimum and midpoint of the range and could vary above and below the listed range as permitted by applicable law. Pay is based on non-discriminatory factors including but not limited to work experience, education, location, licensure requirements, proficiency and qualifications required for the role. The base pay is just one component of Lincoln’s total rewards package for employees. In addition, the role may be eligible for the Annual Incentive Program, which is discretionary and based on the performance of the company, business unit and individual. Other rewards may include long-term incentives, sales incentives and Lincoln’s standard benefits package.

About The Company
Lincoln Financial (NYSE: LNC) helps people to confidently plan for their version of a successful future. We focus on identifying a clear path to financial security, with products including annuities, life insurance, group protection, and retirement plan services.

With our 120-year track record of expertise and integrity, millions of customers trust our solutions and service to help put their goals in reach.

Lincoln Financial Distributors, a broker-dealer, is the wholesale distribution organization of Lincoln Financial. Lincoln Financial is the marketing name for Lincoln Financial Corporation and its affiliates including The Lincoln National Life Insurance Company, Fort Wayne, IN, and Lincoln Life & Annuity Company of New York, Syracuse, NY. Lincoln Financial affiliates, their distributors, and their respective employees, representatives and/or insurance agents do not provide tax, accounting or legal advice.

Lincoln is committed to creating a diverse and inclusive environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Follow us on Facebook, X, LinkedIn, Instagram, and YouTube. For the latest company news, visit our newsroom.

Be Aware of Fraudulent Recruiting Activities
If you are interested in a career at Lincoln, we encourage you to review our current openings and apply on our website. Lincoln values the privacy and security of every applicant and urges all applicants to diligently protect their sensitive personal information from scams targeting job seekers. These scams can take many forms including fake employment applications, bogus interviews and falsified offer letters.

Lincoln will not ask applicants to provide their social security numbers, date of birth, bank account information or other sensitive information in job applications. Additionally, our recruiters do not communicate with applicants through free e-mail accounts (Gmail, Yahoo, Hotmail) or conduct interviews utilizing video chat rooms. We will never ask applicants to provide payment during the hiring process or extend an offer without conducting a phone, live video or in-person interview. Please contact Lincoln's fraud team at fraudhotline@lfg.com if you encounter a recruiter or see a job opportunity that seems suspicious.

Additional Information
This position may be subject to Lincoln’s Political Contribution Policy. An offer of employment may be contingent upon disclosing to Lincoln the details of certain political contributions. Lincoln may decline to extend an offer or terminate employment for this role if it determines political contributions made could have an adverse impact on Lincoln’s current or future business interests, misrepresentations were made, or for failure to fully disclose applicable political contributions and or fundraising activities.

Any unsolicited resumes or candidate profiles submitted through our web site or to personal e-mail accounts of employees of Lincoln Financial are considered property of Lincoln Financial and are not subject to payment of agency fees.

Lincoln Financial is an Equal Opportunity employer and, as such, is committed in policy and practice to recruit, hire, compensate, train and promote, in all job classifications, without regard to race, color, religion, sex (including pregnancy), age, national origin, disability, sexual orientation, gender identity and expression, Veteran status, or genetic information. Applicants are evaluated on the basis of job qualifications. If you are a person with a disability that impedes your ability to express your interest for a position through our online application process, or require TTY/TDD assistance, contact us by calling 260-455-2558.",,2025-05-08,2025-05-08 20:27:17
Full Stack Software Developer- Experienced,Cru,"Orlando, FL 32832",,"$70,256 a year","Job Description:

Pay: $70,256 Annual Minimum
Full Time, Orlando, FL – Hybrid
We are seeking a talented and motivated Full Stack Software Developer to join our innovative team at Cru. In this role, you will have the opportunity to work across the entire software development life cycle (SDLC), using the latest technologies to deliver robust, scalable applications while making an impact for Christ.
What You’ll Be Doing:
Define System Scope & Objectives: Conduct in-depth research, requirements gathering, and planning to shape both front-end and back-end system objectives. Ensure alignment with Cru’s mission and user needs.
Create Technical Specifications: Develop clear, detailed documentation that guides the full-stack development of software solutions.
Full-Stack Development: Design, develop, test, debug, and deploy both front-end (UI/UX) and back-end (server, database) software, ensuring seamless integration and performance.
System Integration & External Interfaces: Lead integration efforts across systems and build external interfaces to ensure a consistent and cohesive user experience.
Data Conversion: Design and implement data conversion processes, ensuring data integrity during system migrations and upgrades.
Feature Enhancements & Bug Fixes: Develop and implement new features while addressing bugs across both front-end and back-end codebases.
Documentation: Maintain comprehensive documentation of your code, system changes, logic, and testing procedures to ensure clarity and future maintainability.
Troubleshooting & Issue Resolution: Proactively identify and resolve technical issues, providing solutions and detailed documentation to support ongoing system stability.
Quality Code Production: Write efficient, maintainable, and high-performance code, ensuring alignment with technical specifications and business goals.
Collaborative Testing: Perform unit and system testing on your code and collaborate with the team to ensure the overall quality and reliability of the system.
Adhere to Standards: Implement functional and technical solutions in line with company best practices and standard operating procedures.
Why Join Us?
Find your purpose: Join a Global Movement Impacting the World for Jesus.
Comprehensive Compensation & Benefits Package for full-time employees.
Retirement Savings: 403B plan with matching contributions for qualifying salaried roles and lump sum contributions for hourly roles, helping you plan for your future.
Paid Time Off & Holiday Pay to support your work-life balance.
Paid parental leave: 2 months for mothers and fathers
Health Coverage: 98% paid Medical and Dental Insurance for employees/50% for dependents.
Life Insurance: Basic life insurance provided, plus the option to purchase Voluntary Term Life Insurance (VTL) for self and dependents.
Spiritual Growth and Development Opportunities: Quarterly paid half-day with the Lord, team spiritual development.
Meaningful Work: Make a lasting impact on the lives of those you serve, while working with a supportive and collaborative team.
And additional perks!
Experience and Skills:
4 year Bachelors Degree in computer science, information technology, mathematics or related field
3 years experience in computer programming positions of increasing complexity
Additional software developer certifications preferred

From: Cru",,2025-05-08,2025-05-08 20:27:17
Software Engineer,"Pinehurst Coin Exchange, Inc.","Pinehurst, NC 28374",,"$50,000 - $85,000 a year","Overview
Pinehurst Coins is the nation’s largest retailer and wholesaler of modern graded coins and bullion products. As a fast-growing e-commerce business, we rely on modern technology to scale operations, optimize workflows, and deliver an excellent customer experience.
We are currently hiring an onsite Full Stack Developer to support our internal platforms and e-commerce infrastructure. This is a hands-on engineering role focused on building and maintaining custom applications, automations, and integrations across platforms like WordPress, React, and NetSuite. You’ll be part of a collaborative dev team, working closely with analysts, operations staff, and other developers to improve business processes and customer-facing tools.
What Makes Us Different
At Pinehurst Coins, our company culture is one of our greatest strengths. We believe that how we work together is just as important as the work we do.
We foster a growth mindset—encouraging team members to always seek improvement, stay curious, and embrace challenges. We value personal accountability, which means taking ownership of your work, staying positive, and showing up with the intention to do your best.
Our team supports each other, shares knowledge, and celebrates wins—big or small. If you're looking for a role where you can contribute, grow, and be part of something meaningful, you’ll feel right at home here.
Key Responsibilities
Develop and maintain custom features for our WordPress and WooCommerce websites
Build and update React-based interfaces and internal tools
Write, improve, and support Python scripts for automation and data processing
Support API integrations with platforms like NetSuite and shipping/payment providers
Participate in regular development cycles (code reviews, QA testing, sprint planning)
Troubleshoot bugs and improve system performance across the stack
Collaborate with non-technical teams to translate business needs into software solutions
Your Skill Set
WordPress Development (Very Proficient): Experience building themes, plugins, and customizing WooCommerce
React (Proficient): Comfortable with modern frontend architecture, hooks, and component design
Python (Moderate): Able to write and debug scripts for backend automation or reporting
Data Analysis (Moderate): Familiar with Python or SQL-based data extraction, cleaning, and insights
NetSuite (Moderate): Experience with SuiteScript or API integrations is a strong plus
Solid grasp of HTML5, CSS, JavaScript, PHP, and modern development workflows
Understanding of REST APIs and general networking principles
Experience with relational databases like MySQL, MariaDB, or PostgreSQL
Familiarity with Git, deployment pipelines, and debugging tools
Qualifications
Minimum 1 year of professional web development experience
Bachelor’s degree in Computer Science, Engineering, Data Analytics, or a related field—or equivalent hands-on experience
Strong problem-solving skills and the ability to work independently
Comfortable working in a fast-paced, collaborative environment
Benefits & Perks
Competitive pay: $50,000 – $85,000/year
Bonus opportunities (based on company performance)
Health, dental, and vision insurance
Paid time off and holidays
Friendly, team-oriented work culture
Important Details
This is an onsite position based in Pinehurst, NC — no remote work available
Applicants must be able to reliably commute or relocate prior to their start date
Relocation assistance may be considered for highly qualified candidates
Interested in building software that drives real-world results?Apply today and help us shape the future of e-commerce in the precious metals space.
Job Type: Full-time
Pay: $50,000.00 - $85,000.00 per year
Benefits:
Dental insurance
Health insurance
Life insurance
Paid holidays
Paid time off
Referral program
Vision insurance
Compensation Package:
Bonus opportunities
Schedule:
8 hour shift
Monday to Friday
Work Location: In person",,2025-05-08,2025-05-08 20:27:17
.Net Software Engineer 2,"Garmin International, Inc.","Olathe, KS 66062",,"Full-time, On call
+1","Overview:
We are seeking a full-time .Net Software Engineer 2 for our Device Interaction department in our Olathe, KS location. Device Interaction develops highly visible components impacting millions of users daily across Garmin's Fitness, Outdoor, Automotive, and Marine business segments. In this role, you will be responsible for developing complex software and creating and executing designs for new functionalities for Garmin products and applications.
Responsibilities:
Essential Functions
Creates and executes designs for new functionalities as part of a software project using C# for new products and applications
Utilizes software engineering tools such as configuration management systems, build processes, and debuggers in the software development process
May perform as a technical leader or Lead Software Engineer for derivative software project
Collaborates and adds value through participation in peer code reviews, providing comments and suggestions
Provides reliable solutions to a variety of problems using sound problem solving techniques
Performs technical root cause analysis and outlines corrective action for given problems
Contributes to technical research on new technologies
Estimates level of effort, evaluates new options of similar technology, offers suggestions to improve processes, and provides feedback on some electrical design aspects
Serves as a mentor to less experienced software engineers (Software Engineer 1)
Supports working hours as part of a rotating schedule to provide on call support of Garmin’s 24/7 operations
Qualifications:
Basic Qualifications
Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Aerospace Engineering, Math, Physics or related field AND a minimum of 1 year relevant experience OR an equivalent combination of education and experience
Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
Demonstrated proficiency in writing software in C# and relevant experience in object-oriented design methodology
Experience with Microsoft Visual Studio, MS SQL Server, and .NET Core
Demonstrated capability writing and consuming Web API services
Proficient knowledge, utilization and mastery of relevant software engineering tools (configuration management systems, build processes, debuggers, emulators, simulators and logic analyzers)
Demonstrated strong and effective verbal, written, and interpersonal communication skills
Must be positive, detail oriented, organized, team oriented and a driven problem solver, multi-tasker, and self-starter with the ability to prioritize and lead in a fast paced, deadline-driven environment
Desired Qualifications
Demonstrated proficiency developing applications using Angular
Hands on experience using design patterns for decoupling components (Inversion of Control /
Dependency Injection, Aspect-Oriented Programming, MVC)
Outstanding academics (cumulative GPA greater than or equal to 3.5)
Previous work or internship experience in design, particularly for consumer products

Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.

This position is eligible for Garmin's benefit program. Details can be found here: Garmin Benefits",,2025-05-08,2025-05-08 20:27:17
Front-End Developer,"Coffey Communications, Inc.","Walla Walla, WA 99362",,"$70,000 - $90,000 a year","Position Summary:
Works with production and web design staff in a high-efficiency production environment. Is responsible for developing website designs for hospital and health plan clients based on designs created by web designers, updating client websites, providing development support for digital services editorial staff, building and maintaining web pages, providing input and working on complex web applications. Understands the need for high accessibility standards in our clients’ industry and develops software with the latest guidelines in mind. Supports the department and company objectives through additional projects, technical support and expertise. Promotes positive client relations, ensuring that clients receive excellent customer service.
Essential Job Functions:
Develops web page templates for clients using HTML, CSS/SASS, JavaScript and other programming languages in accordance with current web development standards. Familiar with Git source control in a team environment and possesses a general understanding of the command line, automated build tools (such as Gulp, Grunt or Webpack), Vue.js, and/or React.
Acquires and maintains a strong working knowledge of WCAG compliance regulations.
Works closely with project coordinators to ensure that client’s stated goals are achieved through usability and website functionality.
Consults with developers to troubleshoot website issues in testing and quality assurance.
Other Responsibilities:
Maintains proficiency in current web technologies/trends, including HTML, CSS/SASS and JavaScript.
Duties and responsibilities may be added, deleted or changed at any time, formally or informally, either orally or in writing.
Education, Experience and Skills:
A bachelor’s degree in computer science, web development or related field or equivalent experience.
Advanced knowledge and experience with HTML, CSS, and JavaScript.
Experience with user-interface (UI) and user-experience (UX) design principles is highly desired.
Experience with managing website content with strict attention to detail.
Ability to work professionally and meet deadlines in a fast-paced environment.
Strong verbal, written, interpersonal and presentation skills, and the ability to work cooperatively with a diverse group of users and support staff.
Self-motivation and evidence of initiative.
Expertise in current internet standards, including web browsers and browser specifications.
Experience with two or more of the following applications:
o Web production (Visual Studio Code or equivalent).
o Photo editing (Adobe Photoshop or equivalent).
o Prototyping (Figma or equivalent).
For a summary of our benefits please visit: https://www.coffeycomm.jobs/benefits/
Job Type: Full-time
Pay: $70,000.00 - $90,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Vision insurance
Compensation Package:
Bonus opportunities
Performance bonus
Schedule:
8 hour shift
Monday to Friday
Location:
Walla Walla, WA 99362 (Required)
Ability to Commute:
Walla Walla, WA 99362 (Required)
Ability to Relocate:
Walla Walla, WA 99362: Relocate before starting work (Required)
Work Location: In person",,2025-05-08,2025-05-08 20:27:17
.Net Full stack Developer,Intone Networks,"Charlotte, NC",,,.Net Full stack Developer Location: Charlotte North Carolina,,2025-05-08,2025-05-08 20:28:10
UI/UX Developer,AI for ALL LLC,"Hybrid work in Columbus, OH 43229",,$25 - $35 an hour,"Job Title: UI/UX Developer
Location: Central Ohio
Job Type: Full-Time, contract
Work Location: Hybrid
AI OWL: UI/UX Developer
About the Role
AI OWL is leading AI education and development in Ohio to make powerful AI tools
accessible to organizations everywhere. As a UI/UX Developer, you will be integral to
designing seamless, engaging, and intuitive user experiences across our suite of AI-powered applications. You will work closely with other developers to translate technical functionality into delightful and impactful user experiences.
What You’ll Do
Collaborate with product managers, developers, and consumers to understand user needs
and create engaging designs.
Design and prototype user interfaces for web-based AI tools.
Conduct user research, usability testing, and iterate on feedback to improve product
design.
Create wireframes, mockups, and design specifications that guide development.
Establish and maintain a consistent visual style across platforms.
Contribute to building a scalable design system for AI OWL products.
What We’re Looking For
• UI/UX Skills:
○ Proficiency in design tools such as Figma.
○ Strong understanding of user-centered design principles.
○ Ability to design for responsive and accessible web interfaces with front-end
technologies such as HTML, CSS, and JavaScript (proficiency with libraries like React or
Angular is desired)
• Collaboration:
○ Excellent communication and teamwork skills.
○ Ability to work with developers and communicate design requirements clearly.
Bonus:
○ Experience designing for AI products or educational platforms.
Why Join Us?
Design products that make cutting-edge AI accessible to everyday users.
Join a passionate and mission-driven team focused on AI education and empowerment.
Enjoy a flexible, remote work environment with opportunities for growth.
Help shape the user experience of tools that impact organizations around the world.
Job Types: Full-time, Contract
Pay: $25.00 - $35.00 per hour
Compensation Package:
1099 contract
Schedule:
Day shift
Monday to Friday
No nights
No weekends
Work Location: Hybrid remote in Columbus, OH 43229",,2025-05-08,2025-05-08 20:28:10
Software Engineer,Tech-Apex Solutions,"Farmington Hills, MI",,,"At Tech-Apex, job opportunities abound within our growing system for IT professionals alike. We promote from within whenever possible, and are committed to providing benefits and programs that support our team member's careers and personal development. Our in-depth expertise in numerous verticals gives you the opportunity to pick up skills in diverse areas. We help you add value to yourself in a healthy environment that catalyzes professional growth.
You would be the part of a dynamic team that synergies efforts to help you deliver your best. At Tech-Apex, we give our people the opportunity to be their most creative and proactive. Our expertise goes beyond ‘delivering value’ to clients – into harnessing the talent of our people and giving them room to grow. We have created an environment conducive to learning. Our supportive team will help you realize your full potential.
If you have the vision to grow, and the desire to go beyond the mediocre, meet us.We look forward to welcoming you as part of our team!

Install, configure and optimize POS (Point of Sale) switchboards (24 port) and hotspots for lab environment. Verify Connex to RTS (Chip Card Transaction (EMV), Apple Pay, Swipe, Gift Card, OTC) migration. Responsible for REST API testing using SOAP UI & Postman tool. Track User stories and team progress using Microsoft Visual Studio Team Services (VSTS). Use website analytics tools such as Omniture/Adobe Analytics. Perform Restful Web Services automation testing using Rest Assured, TestNG.
Requirements:
Minimum Education: Master degree in Computer Science or Electrical Engineering.
Experiance: 6 months as Software/System Engineer or Consultant.
Ref: #6493.
Location: Farmington Hills, MI. (Relocation is possible).

Please send your updated resumes to hr@tech-apex.com",,2025-05-08,2025-05-08 20:29:00
Software Engineer,"Pennington County, SD","Rapid City, SD 57701",,"$30.76 an hour, Full-time, Weekends as needed","Position Description
Position Objective:
The Software Engineer position will prioritize and develop software applications for multiple County departments and maintain existing software to current design and security standards. The Software Engineer position will also be involved in system testing and validation procedures.
Position Functions
Essential Functions:
Develop software project prioritization strategies
Determine and oversee software projects including consistent testing, evaluation and troubleshooting in all stages through completion
Develop and maintain user-friendly desktop, Internet and database applications. Design software to meet user needs
Write SQL queries to store, sort and retrieve data from basic CRUD commands to complex commands that fetch and manipulate data across multiple tables
Analyze information to recommend and plan the development of new systems and changes to existing systems
Develop SQL databases for a wide variety of applications
Develop internal use tools and shared libraries used in application development
Conduct system testing and validation procedures, including the ability to test and thoroughly debug software solutions
Convert older technologies to current development frameworks
Work with departments on technical solutions and taking a lead role in communication
Collaborate with users, providing imaginative solutions to problems; and provide clear instruction and expectations and be able to clearly communicate instructions to users
Work with software and hardware staff to evaluate software-hardware interfaces and develop specifications
Document software and change tracking
Perform related duties as assigned by supervisor
Maintain compliance with all County policies and procedures

This position specification should not be construed to imply that these requirements are the exclusive duties of the position. Incumbents may be required to follow any other instructions, and to perform any other related duties, as may be required
Qualifications
Education and/or Experience Required:
Bachelor’s degree in Computer Science or related field, and 4 years of experience in a business environment or equivalent.
Proven experience in project management and software development
Combination of education and experience may be considered
Good decision-making and organization skills
Strong attention to detail and multi-tasking skills
Verifiable experience in C#, VB.NET, ASP.NET and/or SQL
Advanced proficiency in structuring and writing code, with ability to write concise, robust code to modern business standards.
Ability to acquire new programming languages and maintain proficiency in latest software development practices.
The ability to communicate both orally and written in a professional manner, working professional, respectfully with peers and adhere to team work standards and expectations
The ability to work with minimal direction and react well under pressure
Physical Requirements:
Ability to safely and successfully perform the essential position functions consistent with the ADA, FMLA, and other federal, state and local standards, including meeting qualitative and quantitative productivity standards
Ability to maintain regular, punctual attendance consistent with the ADA, FMLA, and other federal, state and local standards
This position frequently remains stationary for long periods of time and needs to occasionally move about inside the office to access file cabinets, office machinery, etc.
Constantly operates a computer and other office productivity machinery such as a calculator, copy machine and printer.
Must be able to move up to 30 pounds unassisted, and move 50 pounds with assistance.
Must be able to communicate professionally, clearly, and effectively on telephone, in-person and in writing; providing excellent customer service
Additional Information
Working Environment:

Most work is performed indoors in an office setting where noise and interruptions may occur
Work may also be conducted in other department work areas, including the Jail, Care Campus, JSC or other locations
May be subjected to call-out on a 24-hour weekday/weekend/holiday basis
Some travel may be required for training and meetings

Pennington County Benefit Summary
The following is a summary of benefits available to full-time and part-time benefited employees of Pennington County.
Heath Care Program
Health – Pennington County has a self-funded health care program for employees and their dependents. Health Insurance and Prescription Drug is covered through Wellmark (Blue Cross Blue Shield). Two plans are offered: a traditional PPO plan with co-pay structure and a high deductible plan with higher deductible/out-of-pocket maximums.
Dental – Dental coverage is provided through Delta Dental of South Dakota. 100% of usual and customary charges for preventive and diagnostic procedures are covered, after a $50 deductible per individual / $150 per family. Routine and restorative procedures, endodontics, periodontics, and major services are covered at 50%. There is an annual maximum of $1000 per individual. Orthodontics are not covered under this plan.
Prescription – The Health care program includes retail and mail order (90-day supply) prescription coverage, both requiring an affordable co-pay. Co-pays do not accumulate toward satisfaction of the deductible or co-insurance limit.
Note: Health care program coverage is effective on the 1st of the month following one complete month of employment. The program is available for employees and their dependents.
Life Insurance
Pennington County provides a $20,000 basic life insurance policy for every benefited employee. Optional supplemental life insurance can be purchased for employee, spouse, and dependent children.
Employee Assistance Program
Pennington County employees and family members may receive counseling services for issues relating to financial difficulties, marital and family distress, emotional problems, and alcohol or drug abuse. Generally speaking, as many as three visits annually are provided at no charge. Services are confidential.
Retirement Plan
Pennington County is a member of the South Dakota Retirement System (SDRS). The employee contributes 6% (8% for public safety) of gross wages. The contribution is matched by the County. Upon separation from employment with Pennington County, individuals who are fully vested in SDRS (three years of contributory service) have the right to receive a monthly lifetime retirement benefit at retirement age.
Employees may choose to save additional funds toward retirement on a pre-tax basis through the SDRS supplemental retirement program. Other SDRS benefits include long term disability, family, and spouse benefits.
Supplemental Insurance
AFLAC offers various supplemental insurance policies for employees and family members. These policies are portable and guaranteed renewable. Premiums are deducted from payroll.
Paid Time Off
Vacation – Vacation time accrues per pay period at the rate of 3.077 hours for new employees with incremental increases based on years of service. Maximum hours of accumulation apply.
Sick Leave – Sick leave accrues at the rate of 3.077 hours per pay period. Employees may use up to 80 hours of available sick leave annually for other designated reasons. Sick leave separation benefits are available after 10 years of employment.
Holidays – Employees are eligible for up to 11 paid holidays per year.
All Paid Time Off benefits are prorated based on the number of hours worked or benefit time taken in a pay period for all benefited employees.
This summary is for general information only. Employees have access to complete and detailed policies, procedures, or summary plan descriptions for all benefits cited.",,2025-05-08,2025-05-08 20:29:00
